	cluster	from	from_category	from_cluster	from_network	from_popularity	from_topic	to	to_category	to_cluster	to_network	to_popularity	to_topic	videos	weight
1014	495	UCoo8qQwz4w_rZXlA6orVp9g	Entertainment	"[""495"", ""3588""]"	Studio71	3	Movies	UCaP82CxbFJz0tr7pb4SRhCA	Science & Technology	"[""9890"", ""13559""]"	MusicNations	2	Technology	"[""fxpQZdMlxy4""]"	1
1015	1189	UCDZ-irzyMKKSskgTEM2H0dg	How-to & Style	"[""1189""]"	None	3	Fashion	UCnivvjOresHwAGU9Rwzp0jA	Entertainment	"[""3344""]"	TubeOne	4	Music	"[""kpAz3ZHziIU""]"	1
1016	1189	UCDZ-irzyMKKSskgTEM2H0dg	How-to & Style	"[""1189""]"	None	3	Fashion	UCTXeJ33DzXI2veQpKfrvaYw	Entertainment	"[""3805""]"	TubeOne	4	Music	"[""L0TliIRLgZI""]"	1
1017	7806	UCXX0iCrVQnlNvGW4gKEhHdA	People & Blogs	"[""7806""]"	None	3	Lifestyle	UCXwXB7a3cq9AERiWF4-dK9g	Comedy	"[""2365"", ""5175""]"	Studio71	3	Music	"[""aPPmI3SqZtQ""]"	1
1018	1418	UCaWbo0qMCnwpNfNxDHnIJdQ	Education	"[""1418""]"	None	0	Lifestyle	UCBXdEOYkIEqr3UHLKj7V7sQ	Science & Technology	"[""1419""]"	EndemolDE	3	Knowledge	"[""VYSG3RDCfII""]"	1
1019	7977	UCl0KdGiwyqLJCdu5XMIz_TQ	Education	"[""6420"", ""7977"", ""8045""]"	None	0	Children's music	UCVfnITGr7O1sd6c9DDbHGfA	Film & Animation	""""""	BroadbandTV	2	Children's music	"[""63WYQ4CuRJU"", ""FhtIOETg3yY"", ""amLI1uUbQU4""]"	3
1020	7977	UCl0KdGiwyqLJCdu5XMIz_TQ	Education	"[""6420"", ""7977"", ""8045""]"	None	0	Children's music	UCgDquvUHbtJ7bXXjCEXH-Pw	Film & Animation	"[""9690""]"	BroadbandTV	2	Movies	"[""JyAfhlYLh4o""]"	1
1021	8045	UCl0KdGiwyqLJCdu5XMIz_TQ	Education	"[""6420"", ""7977"", ""8045""]"	None	0	Children's music	UCoERKXqq6oMyoRlw5L2tQBQ	Education	"[""9045""]"	None	3	Children's music	"[""EOFZ6MEiYeA"", ""_eMRzh8Yqqg""]"	2
1022	7977	UCl0KdGiwyqLJCdu5XMIz_TQ	Education	"[""6420"", ""7977"", ""8045""]"	None	0	Children's music	UCMsQNXla0kQU5337ipRj1eQ	Film & Animation	""""""	None	1	Children's music	"[""DsGvkftHHzE"", ""RnwL6PWjXLw"", ""yGC9K3yEO9Y""]"	3
1023	7977	UCl0KdGiwyqLJCdu5XMIz_TQ	Education	"[""6420"", ""7977"", ""8045""]"	None	0	Children's music	UCv1eHXj4h8gRX8DYfFz0Jxg	Education	""""""	BroadbandTV	2	Children's music	"[""XTJtDZ_xCiI""]"	1
1024	7977	UCl0KdGiwyqLJCdu5XMIz_TQ	Education	"[""6420"", ""7977"", ""8045""]"	None	0	Children's music	UCswKpR2tL1OF-ym_YeFBysA	Film & Animation	""""""	BroadbandTV	2	Children's music	"[""slMnYZl7kQE""]"	1
1025	7977	UCl0KdGiwyqLJCdu5XMIz_TQ	Education	"[""6420"", ""7977"", ""8045""]"	None	0	Children's music	UCRhHwyC680T6vGBfHdKDvMA	Film & Animation	""""""	BroadbandTV	3	Music	"[""JtFUqzRIA64""]"	1
1026	1202	UCzdX8HbZrbGRwBkikmvpAXw	People & Blogs	"[""200"", ""1202""]"	Studio71	1	Lifestyle	UCbY1P0a_u5m-WInbR0PqR-g	How-to & Style	""""""	Studio71	2	Lifestyle	"[""BBk85UyLq3U"", ""DwDrbKUvg6g"", ""RVnmYHjJS3g"", ""hllZCBuikc8"", ""tYkRlfu_huI""]"	5
