	cluster	from	from_category	from_cluster	from_network	from_popularity	from_topic	to	to_category	to_cluster	to_network	to_popularity	to_topic	videos	weight
529	3578	UCyiPo3XZZ2_XiC8y9mqAqig	Comedy	"[""3578""]"	Maker Studios	2	Music	UCUNb2rHjhZYz0iMASrcj8kA	People & Blogs	"[""1917""]"	StyleHaul	3	Lifestyle	"[""PVwlIAvHgws""]"	1
530	7598	UCplwPnjH1AAB1He_7rMkHgQ	Entertainment	"[""7598""]"	BroadbandTV	4	TV shows	UC-lHJZR3Gqxm24_Vd_AJ5Yw	Comedy	"[""1267"", ""5367"", ""8259"", ""11929""]"	Maker Studios	6	Gaming	"[""TTCPwe_eaco""]"	1
531	7598	UCplwPnjH1AAB1He_7rMkHgQ	Entertainment	"[""7598""]"	BroadbandTV	4	TV shows	UCrqsNpKuDQZreGaxBL_a5Jg	Entertainment	"[""9664"", ""10975"", ""13050""]"	OmniaMediaCo	4	Music	"[""mGr25ouY9uo""]"	1
532	7598	UCplwPnjH1AAB1He_7rMkHgQ	Entertainment	"[""7598""]"	BroadbandTV	4	TV shows	UCzeB_0FNcPIyUSjL_TL5lEw	Gaming	"[""8495""]"	BroadbandTV	3	Gaming	"[""6xfMBfun2VE""]"	1
533	7598	UCplwPnjH1AAB1He_7rMkHgQ	Entertainment	"[""7598""]"	BroadbandTV	4	TV shows	UCIZSqPHF-R9m3X5o0VPKFdg	Entertainment	""""""	BroadbandTV	3	Music	"[""pFO_t6uILmQ""]"	1
534	293	UCNKcMBYP_-18FLgk4BYGtfw	Science & Technology	"[""293"", ""338""]"	Break	4	Hobby	UCplwPnjH1AAB1He_7rMkHgQ	Entertainment	"[""7598""]"	BroadbandTV	4	TV shows	"[""lu-jWkJFSYQ""]"	1
535	3714	UC1bM_rWa49vRd-aPKo1kUCQ	How-to & Style	"[""3714""]"	Maker Studios	2	Lifestyle	UCRUYJ75QI-SyyQEigDSWxgQ	People & Blogs	"[""4156""]"	None	2	Lifestyle	"[""5RhYSURkZxM""]"	1
536	3457	UCI2NRqm3URrWvHjX7KUeqHQ	Travel & Events	"[""3457""]"	None	3	Lifestyle	UC0Tf8LUUtL3E24Dr28vXkbA	Travel & Events	"[""4607"", ""5853"", ""5944""]"	Kin Community	2	Lifestyle	"[""ALyvkzNPAAg""]"	1
537	3457	UCI2NRqm3URrWvHjX7KUeqHQ	Travel & Events	"[""3457""]"	None	3	Lifestyle	UCVrvnobbNGGMsS5n2mJwfOg	People & Blogs	"[""3047""]"	DDNPartners	4	Lifestyle	"[""6D4wgIwph6s"", ""8m6Q4uyzljU"", ""AOkjLaChL_c"", ""HAasCaATJtg"", ""P9BlKSrZKAo"", ""UOIg_F9P2O8"", ""d3fPOA8hxGY"", ""pZsv6jNufqU"", ""yeLO3oVRjgo""]"	9
538	3457	UCI2NRqm3URrWvHjX7KUeqHQ	Travel & Events	"[""3457""]"	None	3	Lifestyle	UCB-Ps5DdRsVAcml-Y43o7RQ	People & Blogs	"[""2933""]"	Maker Studios	3	Lifestyle	"[""p6M6-EQDU2k""]"	1
539	12807	UCaOuM_M71WxH1aSjaIsIeBA	Film & Animation	"[""11024"", ""11246"", ""11905"", ""12750"", ""12752"", ""12807"", ""12868"", ""12966"", ""12991"", ""12992"", ""13509"", ""13727""]"	None	1	Movies	UC0ebPa2q1rwZVN7dYemunUQ	Film & Animation	"[""3453"", ""7105"", ""9556""]"	BroadbandTV	4	Hobby	"[""Opw9JrdMB2k""]"	1
540	12991	UCaOuM_M71WxH1aSjaIsIeBA	Film & Animation	"[""11024"", ""11246"", ""11905"", ""12750"", ""12752"", ""12807"", ""12868"", ""12966"", ""12991"", ""12992"", ""13509"", ""13727""]"	None	1	Movies	UCULj1TDTfOZCCa2eqRLAwfw	Gaming	"[""6487"", ""8974"", ""11790"", ""11795"", ""12184""]"	BroadbandTV	1	Action-adventure game	"[""XaXkKbnI8nU""]"	1
541	12807	UCaOuM_M71WxH1aSjaIsIeBA	Film & Animation	"[""11024"", ""11246"", ""11905"", ""12750"", ""12752"", ""12807"", ""12868"", ""12966"", ""12991"", ""12992"", ""13509"", ""13727""]"	None	1	Movies	UC4hK3z0gWbKOiLWP8KibFYg	Entertainment	"[""4559"", ""7033"", ""10353"", ""13069"", ""13362""]"	None	3	Hobby	"[""nq5VRVSi9mw""]"	1
542	12807	UCaOuM_M71WxH1aSjaIsIeBA	Film & Animation	"[""11024"", ""11246"", ""11905"", ""12750"", ""12752"", ""12807"", ""12868"", ""12966"", ""12991"", ""12992"", ""13509"", ""13727""]"	None	1	Movies	UC1AdTlbH7l89aHKJgNyG6oA	Entertainment	"[""8168"", ""10616""]"	None	2	Hobby	"[""sqokdQRoig8""]"	1
543	13740	UCEj29xO7c8DB1--bkSeFOiw	Gaming	"[""12076"", ""13740"", ""13776""]"	Maker Studios	2	Action game	UCCqeNqrFzNB2axEpi2xD0DQ	Gaming	""""""	BroadbandTV	3	Action game	"[""EcKQPgSSoxo""]"	1
544	12076	UCEj29xO7c8DB1--bkSeFOiw	Gaming	"[""12076"", ""13740"", ""13776""]"	Maker Studios	2	Action game	UCplH8OQuZ2KcmdZbhWEAdwQ	Gaming	"[""8663""]"	Curse	2	Action game	"[""f15Dukglf6w""]"	1
545	13740	UCEj29xO7c8DB1--bkSeFOiw	Gaming	"[""12076"", ""13740"", ""13776""]"	Maker Studios	2	Action game	UCDsrzunE7iiZgIIRwMdsWyw	Gaming	""""""	None	1	Action game	"[""4QffAWbr5oI"", ""PDFAS0oKyYg""]"	2
546	13776	UCEj29xO7c8DB1--bkSeFOiw	Gaming	"[""12076"", ""13740"", ""13776""]"	Maker Studios	2	Action game	UClxtHzfjH9Nw1Iym-lWkF2A	Gaming	"[""9833""]"	None	2	Action game	"[""Dgy6F6CEYsI"", ""LtKrVkDtztc"", ""uUtEb0hT9kw"", ""vkXXdJwbDXU"", ""zECdOmGqDOY""]"	5
547	13740	UCEj29xO7c8DB1--bkSeFOiw	Gaming	"[""12076"", ""13740"", ""13776""]"	Maker Studios	2	Action game	UCP9tAErY_RlX4RFKssE4ogg	Gaming	"[""5606"", ""11483"", ""11484""]"	Fullscreen	4	Action game	"[""HsC5OhSDD1Y"", ""w9MEcul7CYE""]"	2
548	13776	UCEj29xO7c8DB1--bkSeFOiw	Gaming	"[""12076"", ""13740"", ""13776""]"	Maker Studios	2	Action game	UCkmTt9DmXcYupKCIWayO8ig	Gaming	"[""4973""]"	None	1	Action game	"[""Hn9d5vORl8w""]"	1
549	13776	UCEj29xO7c8DB1--bkSeFOiw	Gaming	"[""12076"", ""13740"", ""13776""]"	Maker Studios	2	Action game	UCzOufe-loQ9Nu9kzdcqSPpw	Gaming	""""""	BroadbandTV	3	Action game	"[""6rtMaP7VbJo""]"	1
550	13740	UCEj29xO7c8DB1--bkSeFOiw	Gaming	"[""12076"", ""13740"", ""13776""]"	Maker Studios	2	Action game	UCaB1cNlBnem7Uqiu2nl1uTw	Gaming	"[""3495"", ""9022"", ""10183""]"	BroadbandTV	2	Action game	"[""_Cmf2pxwW00"", ""seGaAvpXA5Q""]"	2
551	13740	UCEj29xO7c8DB1--bkSeFOiw	Gaming	"[""12076"", ""13740"", ""13776""]"	Maker Studios	2	Action game	UC1j9Sw58UNh-f-21Z-fd8pw	Gaming	"[""694"", ""5137""]"	OmniaMediaCo	3	Action game	"[""4_ynwPxKgEE"", ""z_tagbRIUfk""]"	2
